Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:27:44.653,COM14,, 0.006, 0.088, 0.966, -1.221, 0.000, -18.982, 0.000, -0.939, -8.987, -5.573, 21.120, -11.453, 31.41,,,,,,,,,,,,,,,,
 17:27:44.682,COM13,, -0.021, -1.082, 0.089, 0.793, 19.653, 0.610, 0.341, -0.654, 51.740, -3.260, -18.440, 116.273, 31.83,,,,,,,,,,,,,,,,
 17:27:44.736,COM14,, 0.041, 0.081, 0.965, -0.549, -0.244, -24.353, 0.302, -1.038, -10.898, -6.573, 21.293, -11.293, 31.42,,,,,,,,,,,,,,,,
 17:27:44.766,COM13,, -0.025, -1.069, 0.120, -0.305, 27.100, 0.671, 0.829, -0.824, 49.938, -5.067, -19.140, 117.800, 31.79,,,,,,,,,,,,,,,,
 17:27:44.839,COM14,, -0.026, 0.121, 1.041, -1.465, -0.061, -32.532, 0.582, -1.126, -13.343, -6.907, 20.713, -11.073, 31.42,,,,,,,,,,,,,,,,
 17:27:44.850,COM13,, -0.135, -1.063, 0.205, 1.648, 35.645, 2.075, 1.340, -0.923, 47.609, -6.787, -19.620, 118.327, 31.78,,,,,,,,,,,,,,,,
 17:27:44.947,COM14,, -0.127, 0.113, 1.052, -2.686, 0.000, -41.809, 0.917, -1.126, -16.545, -8.733, 18.947, -10.873, 31.40,,,,,,,,,,,,,,,,
 17:27:44.963,COM13,, -0.231, -1.056, 0.149, 0.366, 45.044, 1.648, 1.939, -0.917, 44.555, -7.193, -19.733, 118.253, 31.77,,,,,,,,,,,,,,,,
 17:27:44.994,COM16,, -0.117, -0.004, 0.887, -2.502, -2.686, 104.614, 2.390, 3.411, 56.849, 61.980, -15.807, 30.020, 33.09,,,,,,,,,,,,,,,,
 17:27:45.030,COM14,, -0.223, 0.071, 1.021, -2.991, 0.427, -49.561, 1.208, -0.939, -20.803, -10.360, 18.707, -10.953, 31.41,,,,,,,,,,,,,,,,
 17:27:45.092,COM16,, -0.140, -0.030, 0.867, -3.784, -0.061, 104.004, 2.867, 3.669, 69.741, 61.267, -18.587, 28.540, 33.12,,,,,,,,,,,,,,,,
 17:27:45.098,COM13,, -0.208, -1.037, 0.088, 0.854, 50.842, 0.732, 2.521, -0.670, 40.545, -8.600, -19.393, 118.787, 31.79,,,,,,,,,,,,,,,,
 17:27:45.109,COM16,, -0.130, 0.016, 0.896, -2.563, 0.488, 104.858, 3.334, 3.917, 82.084, 60.500, -21.553, 27.153, 33.12,,,,,,,,,,,,,,,,
 17:27:45.112,COM16,, -0.136, 0.019, 0.979, -4.089, -3.479, 99.854, 3.702, 4.059, 93.856, 57.647, -24.460, 25.967, 33.14,,,,,,,,,,,,,,,,
 17:27:45.118,COM16,, -0.119, -0.019, 1.019, -2.808, -5.005, 94.238, 4.043, 4.076, 104.865, 55.120, -26.433, 24.873, 33.12,,,,,,,,,,,,,,,,
 17:27:45.126,COM16,, -0.054, -0.102, 0.978, -3.235, -4.700, 89.172, 4.307, 3.889, 115.005, 52.047, -28.200, 23.753, 33.11,,,,,,,,,,,,,,,,
 17:27:45.128,COM16,, -0.082, -0.029, 0.976, -1.953, -2.258, 88.562, 4.581, 3.774, 124.162, 48.647, -30.220, 22.567, 33.13,,,,,,,,,,,,,,,,
 17:27:45.135,COM14,, -0.158, 0.019, 1.020, -3.296, -0.305, -52.124, 1.417, -0.428, -25.977, -11.960, 18.760, -11.133, 31.41,,,,,,,,,,,,,,,,
 17:27:45.136,COM16,, -0.070, -0.053, 0.977, -3.845, -5.249, 86.975, 4.790, 3.499, 132.616, 45.040, -30.300, 21.453, 33.13,,,,,,,,,,,,,,,,
 17:27:45.144,COM16,, -0.063, -0.013, 0.997, -3.296, -2.319, 88.684, 4.993, 3.274, 140.658, 41.267, -30.120, 20.293, 33.09,,,,,,,,,,,,,,,,
 17:27:45.147,COM16,, -0.051, 0.066, 0.974, -3.784, -0.916, 88.623, 5.169, 3.010, 148.420, 37.920, -30.267, 19.767, 33.11,,,,,,,,,,,,,,,,
 17:27:45.149,COM16,, -0.051, 0.090, 0.920, -2.625, -1.892, 91.797, 5.312, 2.714, 156.028, 34.240, -30.107, 19.187, 33.13,,,,,,,,,,,,,,,,
 17:27:45.155,COM16,, -0.125, 0.010, 0.946, -1.587, 0.366, 92.224, 5.394, 2.401, 163.427, 29.947, -29.053, 18.220, 33.12,,,,,,,,,,,,,,,,
 17:27:45.157,COM13,, -0.148, -1.024, -0.028, -0.488, 51.819, 0.183, 2.900, -0.132, 35.717, -10.140, -18.427, 116.707, 31.77,,,,,,,,,,,,,,,,
 17:27:45.175,COM16,, -0.074, -0.053, 1.120, -2.808, -0.488, 92.041, 5.427, 2.076, 170.530, 26.367, -27.493, 17.473, 33.09,,,,,,,,,,,,,,,,
 17:27:45.192,COM16,, -0.076, -0.101, 0.967, -1.343, -0.793, 87.402, 5.400, 1.692, 177.457, 22.500, -24.960, 16.607, 33.15,,,,,,,,,,,,,,,,
 17:27:45.220,COM16,, -0.029, -0.065, 1.108, -3.296, -2.441, 88.440, 5.306, 1.335, -176.182, 19.000, -22.613, 15.900, 33.13,,,,,,,,,,,,,,,,
