Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 09:57:53.470,d2:5a:50:4a:21:12, 2024-09-04 09:57:48.051, -0.315, -0.03, 0.951, 0.305, 62.256, 0,,,,,,, 63.38, 1.373, 6.29, 7.644, 6.272, -39.200, 23.08, 0.84698, 0.03006, -0.52448, 0.08063,
 09:57:53.483,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, 0.228, 0.001, 0.973, 0.122, -16.968, 0,,,,,,, -90.176, -22.934, -14.057, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:53.575,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, 0.231, 0, 0.971, 0.183, -12.939, 0,,,,,,, -90.17, -23.714, -14.052, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:53.575,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, 0.243, 0.001, 0.97, 0.061, -10.681, 0,,,,,,, -90.165, -24.346, -14.041, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:53.588,d2:5a:50:4a:21:12, 2024-09-04 09:57:49.211, -0.415, -0.029, 0.918, 0.244, 61.279, 0,,,,,,, 63.364, 7.674, 6.976, 7.644, 6.272, -39.200, 23.08, 0.99371, -0.02106, 0.09027, 0.06198,
 09:57:53.636,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, 0.249, 0.002, 0.969, 0.061, -7.08, 0,,,,,,, -90.159, -24.824, -14.024, -24.010, 64.288, -38.220, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:53.650,d2:5a:50:4a:21:12, 2024-09-04 09:57:49.211, -0.502, -0.029, 0.881, 0.244, 62.317, 0,,,,,,, 63.325, 13.986, 7.432, 7.644, 6.272, -39.200, 23.08, 0.99371, -0.02106, 0.09027, 0.06198,
 09:57:53.697,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, 0.25, 0, 0.967, 0, -3.296, 0,,,,,,, -90.159, -25.153, -14.008, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:53.725,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.248, 0.001, 0.966, 0, -0.916, 0,,,,,,, -90.154, -25.334, -13.98, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:53.786,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.245, 0.001, 0.967, 0.061, 2.502, 0,,,,,,, -90.154, -25.384, -13.953, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:53.800,d2:5a:50:4a:21:12, 2024-09-04 09:57:49.211, -0.595, -0.029, 0.839, 0.183, 61.34, 0,,,,,,, 63.27, 20.33, 7.218, 7.644, 6.272, -39.200, 23.08, 0.99371, -0.02106, 0.09027, 0.06198,
 09:57:53.844,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.236, 0, 0.967, 0, 4.639, 0,,,,,,, -90.154, -25.291, -13.925, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:53.859,d2:5a:50:4a:21:12, 2024-09-04 09:57:49.211, -0.672, -0.029, 0.777, 0.244, 62.927, 0,,,,,,, 63.215, 26.741, 5.587, 7.644, 6.272, -39.200, 23.08, 0.99371, -0.02106, 0.09027, 0.06198,
 09:57:53.872,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.233, 0, 0.968, 0, 7.446, 0,,,,,,, -90.154, -25.076, -13.887, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:53.934,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.218, 0.001, 0.969, 0, 9.644, 0,,,,,,, -90.154, -24.747, -13.854, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:53.964,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.205, 0.001, 0.971, -0.061, 12.024, 0,,,,,,, -90.154, -24.302, -13.815, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:53.979,d2:5a:50:4a:21:12, 2024-09-04 09:57:49.211, -0.762, -0.027, 0.713, 0.183, 62.073, 0,,,,,,, 63.182, 33.041, 1.939, 7.644, 6.272, -39.200, 23.08, 0.99371, -0.02106, 0.09027, 0.06198,
 09:57:54.054,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.194, 0, 0.973, -0.122, 13.672, 0,,,,,,, -90.159, -23.758, -13.777, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.069,d2:5a:50:4a:21:12, 2024-09-04 09:57:49.211, -0.83, -0.028, 0.622, 0.183, 61.584, 0,,,,,,, 63.144, 39.342, -2.62, 7.644, 6.272, -39.200, 23.08, 0.99371, -0.02106, 0.09027, 0.06198,
 09:57:54.084,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.175, 0.001, 0.976, -0.122, 15.808, 0,,,,,,, -90.165, -23.132, -13.733, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.144,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.162, 0.001, 0.976, -0.122, 17.212, 0,,,,,,, -90.17, -22.407, -13.694, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.174,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.143, 0, 0.979, -0.183, 19.226, 0,,,,,,, -90.176, -21.61, -13.651, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.189,d2:5a:50:4a:21:12, 2024-09-04 09:57:49.211, -0.884, -0.027, 0.536, 0.244, 61.218, 0,,,,,,, 63.073, 45.566, -7.35, 7.644, 6.272, -39.200, 23.08, 0.99371, -0.02106, 0.09027, 0.06198,
 09:57:54.263,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.123, 0, 0.98, -0.183, 20.142, 0,,,,,,, -90.181, -20.731, -13.612, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.278,d2:5a:50:4a:21:12, 2024-09-04 09:57:49.211, -0.926, -0.026, 0.446, 0.244, 60.791, 0,,,,,,, 62.957, 51.773, -12.052, 7.644, 6.272, -39.200, 23.08, 0.99371, -0.02106, 0.09027, 0.06198,
 09:57:54.292,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.106, 0.001, 0.982, -0.183, 21.973, 0,,,,,,, -90.187, -19.792, -13.563, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.322,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.076, 0, 0.982, -0.244, 22.827, 0,,,,,,, -90.198, -18.776, -13.519, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
